CHOICE_CODE,COLLEGE_CODE,BRANCH_CODE,GOPEN,GSC,GST,GVJ,GNT1,GNT2,GNT3,GOBC,LOPEN,LSC,LST,LVJ,LNT1,LNT2,LNT3,LOBC,PWDOPEN,DEFOPENS,TFWS,EWS,DEFROBCS,PWDRSC,PWDOBC,DEFOBCS,DEFRSCS,DEFRNT3S,DEFRNT2S,DEFRVJS,PWDRNT2,PWDSC,DEFSCS,DEFRNT1S,PWDRNT1,PWDRST,PWDRNT3S
538237210,5382,37210,100071,135614,113126,104481,0,107764,114916,114511,89907,139557,99720,101714,0,0,0,112358,109647,109842,76700,92426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
627224610,6272,24610,10042,29750,90020,21322,15914,14767,11888,12074,11052,30180,88326,44854,27071,18192,0,11708,139606,17410,6640,8839,27098,0,11333,27656,40142,0,0,0,0,0,0,0,0,0,0
625061210,6250,61210,100551,137747,105748,139297,108803,111717,105306,138069,112430,138979,71253,21050,107476,103969,0,14039,6,129118,50900,84623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322024510,3220,24510,100571,124753,106716,0,0,0,0,135716,98677,111380,104319,128904,0,0,0,107674,76985,107043,0,129333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631937210,6319,37210,100623,124939,101103,131222,123824,93438,117878,116951,93405,142215,98475,121230,0,99371,0,104709,100134,89298,56968,78107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
682219110,6822,19110,100634,116097,107445,0,0,132045,0,110187,136945,141832,106835,0,119338,108836,0,113349,106835,105856,43034,103531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
461337210,4613,37210,100729,120062,142382,0,0,135891,0,108989,103696,122430,0,118370,0,0,0,110462,10473,93713,114018,138325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
631791610,6317,91610,100801,121254,122079,104626,105786,113858,105490,135867,90441,141858,101239,103840,0,96791,0,112249,91679,137518,65444,87727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
628419110,6284,19110,100848,135374,106933,121859,142515,103359,0,125170,97950,111845,98380,0,0,1120,0,0,107196,100280,0,78654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
413324510,4133,24510,101018,108878,133635,142217,0,0,0,106596,98400,110796,0,0,0,0,0,104038,89023,85500,82910,133884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
411619110,4116,19110,101126,0,0,0,0,0,0,0,103689,0,0,0,0,0,0,0,0,0,66102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110561210,1105,61210,101231,121193,89901,118778,140985,135446,109339,109203,73195,51227,87585,121757,0,89998,142509,0,91061,80268,0,132715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
618529310,6185,29310,101513,138956,113766,131351,142156,121584,0,117154,105596,119497,0,0,0,0,0,119567,101370,124389,65666,79965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320424510,3204,24510,10158,0,0,0,0,0,0,0,11657,0,0,0,0,0,0,0,0,0,9228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513950710,5139,50710,101789,141406,102410,0,0,127614,0,102343,81085,90358,0,0,0,0,0,104998,94567,98055,42845,101828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
622329310,6223,29310,101885,133409,97785,0,0,0,0,122860,92627,117190,100484,110272,0,0,107236,97882,78960,108686,77551,100999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677229310,6772,29310,101906,119042,99930,104438,118930,0,125840,113616,115724,135613,89730,118594,0,136836,0,75809,90807,138291,60021,87669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600460210,6004,60210,102039,141693,106457,142143,0,123182,0,133541,91783,139280,125527,0,0,126320,0,99645,93063,76484,69004,71290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416370110,4163,70110,102163,129498,129205,120179,105752,0,125765,119731,141323,139651,96317,0,0,0,0,143055,96317,130892,70874,101838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111735610,1117,35610,102213,118210,0,0,0,0,91736,103126,96873,0,0,0,0,0,0,109545,91736,94801,72453,107673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111461210,1114,61210,102220,122984,100496,111895,0,109936,98574,106315,96701,123815,87449,0,0,0,0,84657,76176,96332,78777,139353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614119110,6141,19110,102317,138251,112720,120873,116156,110994,106368,138557,110562,135671,112915,103976,0,132043,117105,138335,87349,11473,63689,97902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
517926310,5179,26310,102522,134944,105469,0,0,107764,0,107174,100799,143223,98227,0,0,0,0,105147,98227,127081,80765,105895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
320029310,3200,29310,102523,137930,85652,93455,0,115870,0,125802,94166,0,99593,0,129405,113840,0,133082,99593,70597,52196,135537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
414537210,4145,37210,102617,106440,113286,112409,120120,113998,0,113092,106725,115468,0,0,0,0,0,112925,113678,105300,122541,142557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417237210,4172,37210,102739,0,0,0,0,0,0,0,104573,0,0,0,0,0,0,0,0,0,78228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
