PERCENTILE,RANK
100,589
99.5,1853
99,3198
98.5,4536
98,5848
97.5,7144
97,8402
96.5,9649
96,10901
95.5,12124
95,13348
94.5,14550
94,15741
93.5,16975
93,18091
92.5,19256
92,20435
91.5,21600
91,22869
90.5,24027
90,25167
89.5,26284
89,27500
88.5,28869
88,29999
87.5,30990
87,32137
86.5,33425
86,34410
85.5,35529
85,36711
84.5,37865
84,38953
83.5,40119
83,41162
82.5,42265
82,43502
81.5,44561
81,45769
80.5,46682
80,47894
79.5,49007
79,49711
78.5,50975
78,52147
77.5,52779
77,54078
76.5,55305
76,55857
75.5,57149
75,58333
74.5,59058
74,59786
73.5,60989
73,62217
72.5,62656
72,63567
71.5,65025
71,66166
70.5,66654
70,67500
69.5,68682
69,69546
68.5,70242
68,71087
67.5,71959
67,72848
66.5,73886
66,74588
65.5,75440
65,143667
64.5,76882
64,78190
63.5,78891
63,79405
62.5,80123
62,80858
61.5,81819
61,82957
60.5,143730
60,84280
59.5,143740
59,85777
58.5,87068
58,87818
57.5,143756
57,88736
56.5,143758
56,90038
55.5,91128
55,92042
54.5,92613
54,93185
53.5,93754
53,94629
52.5,95696
52,96456
51.5,96456
51,97205
50.5,97758
50,98519
49.5,99613
49,100317
48.5,100664
48,101015
47.5,101577
47,102148
46.5,102850
46,104033
45.5,104859
45,104859
44.5,105364
44,106092
43.5,106826
43,107696
42.5,108541
42,109204
41.5,109204
41,109715
40.5,110549
40,110549
39.5,111533
39,112317
38.5,113102
38,113102
37.5,113559
37,114006
36.5,114801
36,115561
35.5,116122
35,116709
34.5,116709
34,117153
33.5,117564
33,118112
32.5,118821
32,119520
31.5,120191
31,120191
30.5,120704
30,120967
29.5,121517
29,122182
28.5,122684
28,123050
27.5,123423
27,123894
26.5,124494
26,124976
25.5,125353
25,125854
24.5,126325
24,126786
23.5,127128
23,127577
22.5,128012
22,128441
21.5,128876
21,129285
20.5,129760
20,130142
19.5,130442
19,130807
18.5,131342
18,131865
17.5,132225
17,132411
16.5,132723
16,133373
15.5,133940
15,134148
14.5,134281
14,134619
13.5,135155
13,135557
12.5,135820
12,136064
11.5,136561
11,137105
10.5,137403
10,137403
9.5,137881
9,138304
8.5,138492
8,138917
7.5,139305
7,139446
6.5,139798
6,140131
5.5,140382
5,140724
4.5,141004
4,141273
3.5,141530
3,141826
2.5,142139
2,142411
1.5,142678
1,142915
0.5,143126
